Query length,Class,Accuracy,Specificity,Sensitivity,Precision
2,Teddy,0.9550000000000004,0.9998614958448753,0.10263157894736838,0.975
2,Vase,0.9492105263157894,0.996814404432133,0.044736842105263144,0.975
3,Airplane,0.9565789473684212,0.9993074792243768,0.1447368421052632,0.9166666666666667
3,Ant,0.9550000000000003,0.9984764542936289,0.12894736842105262,0.8166666666666667
3,Armadillo,0.9513157894736844,0.9965373961218835,0.09210526315789473,0.5833333333333333
3,Bearing,0.9505263157894734,0.9961218836565096,0.08421052631578944,0.5333333333333334
3,Bird,0.9513157894736842,0.9965373961218837,0.09210526315789473,0.5833333333333333
3,Bust,0.9513157894736844,0.9965373961218834,0.09210526315789475,0.5833333333333334
3,Chair,0.9552631578947371,0.9986149584487535,0.13157894736842107,0.8333333333333333
3,Cup,0.9563157894736845,0.9991689750692521,0.14210526315789476,0.9000000000000001
3,Fish,0.953684210526316,0.9977839335180055,0.11578947368421051,0.7333333333333334
3,FourLeg,0.9515789473684212,0.9966759002770083,0.09473684210526316,0.5999999999999999
3,Glasses,0.9565789473684212,0.9993074792243766,0.1447368421052632,0.9166666666666666
3,Hand,0.9492105263157896,0.9954293628808865,0.07105263157894734,0.45
3,Human,0.9507894736842107,0.9962603878116344,0.08684210526315787,0.55
3,Mech,0.9523684210526315,0.9970914127423821,0.10263157894736843,0.6500000000000001
3,Octopus,0.946578947368421,0.9940443213296396,0.044736842105263144,0.28333333333333327
3,Plier,0.9576315789473687,0.9998614958448753,0.15526315789473688,0.9833333333333332
3,Table,0.9536842105263158,0.9977839335180054,0.11578947368421053,0.7333333333333333
3,Teddy,0.9571052631578949,0.9995844875346259,0.15,0.95
3,Vase,0.9478947368421053,0.994736842105263,0.05789473684210526,0.95
4,Airplane,0.9589473684210527,0.9991689750692521,0.19473684210526304,0.925
4,Ant,0.9563157894736841,0.9977839335180055,0.1684210526315789,0.8
4,Armadillo,0.9507894736842104,0.9948753462603876,0.11315789473684208,0.5375
4,Bearing,0.9492105263157896,0.9940443213296403,0.09736842105263155,0.4625
4,Bird,0.9513157894736841,0.9951523545706372,0.11842105263157891,0.5625
4,Bust,0.9505263157894739,0.9947368421052631,0.1105263157894737,0.525
4,Chair,0.9565789473684208,0.9979224376731303,0.1710526315789473,0.8125
4,Cup,0.9584210526315788,0.9988919667590027,0.1894736842105263,0.9
4,Fish,0.9544736842105263,0.996814404432133,0.15,0.7125
4,FourLeg,0.9513157894736842,0.9951523545706369,0.11842105263157894,0.5625
4,Glasses,0.9568421052631578,0.9980609418282549,0.17368421052631577,0.825
4,Hand,0.9473684210526313,0.9930747922437672,0.07894736842105263,0.375
4,Human,0.9513157894736841,0.9951523545706371,0.11842105263157894,0.5625
4,Mech,0.953421052631579,0.9962603878116344,0.1394736842105263,0.6625
4,Octopus,0.9455263157894735,0.9921052631578947,0.06052631578947367,0.2875
4,Plier,0.9594736842105261,0.9994459833795013,0.19999999999999996,0.95
4,Table,0.9539473684210528,0.9965373961218837,0.14473684210526316,0.6875
4,Teddy,0.9589473684210527,0.9991689750692521,0.19473684210526315,0.925
4,Vase,0.9471052631578946,0.9929362880886424,0.0763157894736842,0.925
5,Airplane,0.9610526315789472,0.9988919667590027,0.24210526315789477,0.9199999999999999
5,Ant,0.9565789473684211,0.9965373961218837,0.19736842105263158,0.75
5,Armadillo,0.9494736842105265,0.9927977839335179,0.12631578947368421,0.4800000000000001
5,Bearing,0.9476315789473684,0.9918282548476457,0.10789473684210527,0.41000000000000003
5,Bird,0.9507894736842106,0.9934903047091413,0.1394736842105263,0.53
5,Bust,0.9507894736842107,0.9934903047091412,0.13947368421052628,0.5300000000000001
5,Chair,0.958421052631579,0.9975069252077562,0.21578947368421053,0.82
5,Cup,0.96,0.9983379501385039,0.23157894736842102,0.8800000000000001
5,Fish,0.9536842105263158,0.9950138504155124,0.16842105263157894,0.64
5,FourLeg,0.9510526315789474,0.9936288088642659,0.1421052631578947,0.54
5,Glasses,0.9560526315789474,0.9962603878116342,0.19210526315789472,0.7300000000000001
5,Hand,0.9455263157894735,0.9907202216066482,0.0868421052631579,0.32999999999999996
5,Human,0.9513157894736844,0.9937673130193906,0.14473684210526314,0.55
5,Mech,0.9542105263157893,0.9952908587257617,0.17368421052631577,0.6599999999999999
5,Octopus,0.9436842105263159,0.9897506925207757,0.06842105263157894,0.26000000000000006
5,Plier,0.961315789473684,0.9990304709141273,0.24473684210526322,0.93
5,Table,0.9550000000000001,0.9957063711911358,0.181578947368421,0.6900000000000002
5,Teddy,0.9610526315789473,0.9988919667590027,0.24210526315789474,0.9200000000000002
5,Vase,0.9460526315789473,0.9909972299168974,0.09210526315789473,0.9200000000000002
6,Airplane,0.9628947368421056,0.9984764542936286,0.2868421052631579,0.9083333333333334
6,Ant,0.9565789473684211,0.9951523545706371,0.22368421052631576,0.7083333333333333
6,Armadillo,0.9481578947368423,0.990720221606648,0.13947368421052628,0.4416666666666667
6,Bearing,0.9460526315789473,0.989612188365651,0.11842105263157895,0.3750000000000001
6,Bird,0.9492105263157896,0.9912742382271468,0.14999999999999997,0.475
6,Bust,0.9510526315789474,0.9922437673130193,0.16842105263157894,0.5333333333333334
6,Chair,0.9589473684210527,0.9963988919667589,0.2473684210526316,0.7833333333333334
6,Cup,0.9607894736842105,0.9973684210526315,0.2657894736842106,0.8416666666666666
6,Fish,0.9528947368421052,0.993213296398892,0.18684210526315786,0.5916666666666667
6,FourLeg,0.9502631578947369,0.9918282548476457,0.16052631578947363,0.5083333333333334
6,Glasses,0.955263157894737,0.9944598337950138,0.21052631578947367,0.6666666666666669
6,Hand,0.9434210526315792,0.9882271468144044,0.09210526315789473,0.29166666666666663
6,Human,0.9513157894736841,0.9923822714681438,0.17105263157894735,0.5416666666666667
6,Mech,0.9547368421052633,0.9941828254847647,0.20526315789473687,0.65
6,Octopus,0.9418421052631578,0.9873961218836567,0.0763157894736842,0.2416666666666667
6,Plier,0.9634210526315792,0.9987534626038782,0.29210526315789476,0.925
6,Table,0.9555263157894738,0.9945983379501383,0.21315789473684207,0.675
6,Teddy,0.9623684210526318,0.9981994459833794,0.28157894736842115,0.8916666666666666
6,Vase,0.9452631578947367,0.989196675900277,0.11052631578947367,0.8916666666666666
7,Airplane,0.9642105263157896,0.9977839335180055,0.32631578947368417,0.8857142857142858
7,Ant,0.9563157894736841,0.9936288088642657,0.24736842105263154,0.6714285714285715
7,Armadillo,0.9465789473684211,0.9885041551246537,0.14999999999999997,0.40714285714285714
7,Bearing,0.9442105263157894,0.9872576177285317,0.12631578947368421,0.3428571428571429
7,Bird,0.9471052631578949,0.988781163434903,0.15526315789473683,0.42142857142857143
7,Bust,0.9507894736842106,0.9907202216066482,0.19210526315789472,0.5214285714285714
7,Chair,0.9592105263157897,0.9951523545706371,0.2763157894736842,0.75
7,Cup,0.9613157894736843,0.9962603878116342,0.2973684210526316,0.8071428571428572
7,Fish,0.9518421052631579,0.9912742382271468,0.2026315789473684,0.5499999999999999
7,FourLeg,0.9497368421052632,0.9901662049861498,0.181578947368421,0.4928571428571429
7,Glasses,0.9531578947368422,0.9919667590027703,0.21578947368421053,0.5857142857142856
7,Hand,0.9421052631578949,0.9861495844875344,0.10526315789473684,0.2857142857142857
7,Human,0.9507894736842107,0.990720221606648,0.19210526315789472,0.5214285714285715
7,Mech,0.955263157894737,0.9930747922437672,0.2368421052631579,0.6428571428571429
7,Octopus,0.9407894736842106,0.9854570637119113,0.09210526315789472,0.25
7,Plier,0.9652631578947369,0.9983379501385041,0.3368421052631578,0.9142857142857143
7,Table,0.9549999999999998,0.9929362880886428,0.23421052631578948,0.6357142857142857
7,Teddy,0.9636842105263158,0.9975069252077562,0.32105263157894737,0.8714285714285713
7,Vase,0.9444736842105265,0.9873961218836567,0.12894736842105262,0.8714285714285713
8,Airplane,0.9657894736842106,0.9972299168975068,0.36842105263157887,0.875
8,Ant,0.9552631578947366,0.9916897506925206,0.26315789473684204,0.625
8,Armadillo,0.9457894736842105,0.9867036011080333,0.16842105263157894,0.4
8,Bearing,0.942105263157895,0.9847645429362879,0.13157894736842105,0.3125
8,Bird,0.945263157894737,0.9864265927977838,0.1631578947368421,0.3875
8,Bust,0.95,0.9889196675900276,0.21052631578947367,0.5
8,Chair,0.9594736842105261,0.9939058171745151,0.3052631578947368,0.725
8,Cup,0.9621052631578948,0.9952908587257617,0.331578947368421,0.7875
8,Fish,0.9505263157894739,0.989196675900277,0.21578947368421053,0.5125
8,FourLeg,0.9484210526315788,0.9880886426592801,0.19473684210526315,0.4625
8,Glasses,0.9518421052631579,0.9898891966759005,0.22894736842105262,0.54375
8,Hand,0.9397368421052631,0.9835180055401661,0.10789473684210524,0.25625
8,Human,0.9497368421052629,0.9887811634349027,0.20789473684210527,0.49375
8,Mech,0.9555263157894739,0.9918282548476454,0.26578947368421046,0.63125
8,Octopus,0.9392105263157896,0.9832409972299168,0.10263157894736841,0.24375
8,Plier,0.9668421052631576,0.9977839335180054,0.3789473684210526,0.9
8,Table,0.9547368421052631,0.9914127423822714,0.25789473684210523,0.6125
8,Teddy,0.9647368421052631,0.996675900277008,0.3578947368421052,0.85
8,Vase,0.9431578947368422,0.9853185595567867,0.14210526315789476,0.85
9,Airplane,0.9668421052631577,0.9963988919667587,0.4052631578947368,0.8555555555555555
9,Ant,0.9544736842105263,0.9898891966759003,0.281578947368421,0.5944444444444446
9,Armadillo,0.9436842105263159,0.9842105263157894,0.17368421052631577,0.3666666666666666
9,Bearing,0.9402631578947369,0.9824099722991688,0.13947368421052633,0.2944444444444444
9,Bird,0.9426315789473684,0.9836565096952908,0.1631578947368421,0.3444444444444444
9,Bust,0.9497368421052632,0.9873961218836568,0.2342105263157895,0.49444444444444435
9,Chair,0.9589473684210527,0.9922437673130193,0.3263157894736842,0.688888888888889
9,Cup,0.9626315789473686,0.9941828254847644,0.363157894736842,0.7666666666666666
9,Fish,0.9502631578947369,0.987673130193906,0.23947368421052634,0.5055555555555555
9,FourLeg,0.947894736842105,0.986426592797784,0.21578947368421053,0.45555555555555555
9,Glasses,0.9497368421052632,0.9873961218836562,0.23421052631578948,0.49444444444444435
9,Hand,0.9384210526315788,0.9814404432132962,0.12105263157894737,0.2555555555555555
9,Human,0.9494736842105265,0.9872576177285319,0.23157894736842105,0.48888888888888904
9,Mech,0.9557894736842105,0.9905817174515235,0.2947368421052632,0.6222222222222221
9,Octopus,0.9378947368421053,0.981163434903047,0.11578947368421053,0.2444444444444444
9,Plier,0.9684210526315787,0.997229916897507,0.42105263157894735,0.888888888888889
9,Table,0.9555263157894738,0.990443213296399,0.29210526315789465,0.6166666666666667
9,Teddy,0.9647368421052631,0.995290858725762,0.3842105263157895,0.8111111111111111
9,Vase,0.9413157894736843,0.9829639889196675,0.15,0.8111111111111111
10,Airplane,0.966578947368421,0.9948753462603876,0.4289473684210526,0.8150000000000001
10,Ant,0.9536842105263157,0.9880886426592799,0.3,0.5700000000000001
10,Armadillo,0.9423684210526316,0.9821329639889196,0.1868421052631579,0.35500000000000004
10,Bearing,0.9376315789473683,0.979639889196676,0.13947368421052633,0.265
10,Bird,0.9415789473684211,0.9817174515235456,0.17894736842105263,0.33999999999999997
10,Bust,0.9489473684210527,0.9855955678670361,0.25263157894736843,0.48
10,Chair,0.9594736842105263,0.991135734072022,0.3578947368421053,0.68
10,Cup,0.9626315789473685,0.9927977839335179,0.3894736842105263,0.74
10,Fish,0.9494736842105264,0.9858725761772854,0.2578947368421053,0.48999999999999994
10,FourLeg,0.946842105263158,0.9844875346260386,0.2315789473684211,0.43999999999999995
10,Glasses,0.9486842105263156,0.9854570637119112,0.25,0.4750000000000001
10,Hand,0.9360526315789475,0.9788088642659278,0.12368421052631577,0.23500000000000001
10,Human,0.9484210526315788,0.9853185595567867,0.2473684210526316,0.4700000000000001
10,Mech,0.9563157894736843,0.9894736842105262,0.3263157894736842,0.62
10,Octopus,0.9355263157894738,0.9785318559556785,0.11842105263157894,0.22500000000000003
10,Plier,0.97,0.9966759002770083,0.4631578947368421,0.8800000000000001
10,Table,0.9552631578947368,0.9889196675900278,0.3157894736842105,0.6000000000000001
10,Teddy,0.9647368421052631,0.9939058171745152,0.41052631578947363,0.78
10,Vase,0.939473684210526,0.9806094182825484,0.15789473684210525,0.78
11,Airplane,0.9668421052631577,0.9936288088642659,0.45789473684210524,0.7909090909090908
11,Ant,0.9528947368421052,0.9862880886426593,0.31842105263157894,0.5499999999999999
11,Armadillo,0.9402631578947368,0.979639889196676,0.19210526315789475,0.3318181818181817
11,Bearing,0.9357894736842105,0.9772853185595569,0.1473684210526316,0.2545454545454545
11,Bird,0.9394736842105263,0.9792243767313021,0.18421052631578944,0.3181818181818181
11,Bust,0.9476315789473686,0.9835180055401664,0.2657894736842105,0.4590909090909091
11,Chair,0.9592105263157895,0.9896121883656509,0.38157894736842113,0.6590909090909091
11,Cup,0.9628947368421054,0.9915512465373961,0.4184210526315789,0.7227272727272728
11,Fish,0.9481578947368421,0.9837950138504157,0.2710526315789474,0.4681818181818181
11,FourLeg,0.9457894736842103,0.9825484764542937,0.2473684210526316,0.42727272727272725
11,Glasses,0.946315789473684,0.9828254847645427,0.25263157894736843,0.4363636363636364
11,Hand,0.9344736842105265,0.9765927977839336,0.1342105263157895,0.23181818181818178
11,Human,0.9471052631578948,0.9832409972299171,0.2605263157894736,0.4499999999999999
11,Mech,0.9557894736842105,0.9878116343490305,0.3473684210526315,0.5999999999999999
11,Octopus,0.9334210526315789,0.9760387811634349,0.1236842105263158,0.21363636363636357
